Province,City,Median House-hold Income
Prince Edward Island,Charlottetown,"76,500"
Prince Edward Island,Summerside,"64,500"
Nova Scotia,Cape Breto,"62,000"
Nova Scotia,Halifax,"81,000"
Nova Scotia,Kentville ,"67,000"
Nova Scotia,New Glasgow ,"64,000"
Nova Scotia,Truro ,"66,000"
New Brunswick,Bathurst ,"62,800"
New Brunswick,Campbellton,"54,400"
New Brunswick,Edmundston ,"60,800"
New Brunswick,Fredericton,"79,000"
New Brunswick,Miramich,"66,500"
New Brunswick,Moncton,"74,500"
New Brunswick,Saint John,"74,000"
Quebec,Alma ,"67,500"
Quebec,Amos ,"76,500"
Quebec,Baie-Comeau ,"75,000"
Quebec,Cowansville ,"58,800"
Quebec,Dolbeau-Mistassini ,"63,600"
Quebec,Drummondville,"64,000"
Quebec,Granby ,"68,500"
Quebec,Joliette ,"61,600"
Quebec,Lachute ,"56,400"
Quebec,Matane ,"56,800"
Quebec,Montréal,"76,000"
Quebec,Québec,"76,500"
Quebec,Rimouski ,"67,000"
Quebec,Rivière-du-Loup ,"67,000"
Quebec,Rouyn-Noranda ,"76,000"
Quebec,Saguenay,"70,000"
Quebec,Saint-Georges ,"64,500"
Quebec,Saint-Hyacinthe ,"62,000"
Quebec,Sainte-Agathe-des-Monts ,"61,200"
Quebec,Sainte-Marie ,"78,000"
Quebec,Salaberry-de-Valleyfield ,"62,000"
Quebec,Sept-Îles ,"79,000"
Quebec,Shawinigan ,"53,600"
Quebec,Sherbrooke,"65,000"
Quebec,Sorel-Tracy ,"61,600"
Quebec,Thetford Mines ,"57,200"
Quebec,Trois-Rivières,"62,400"
Quebec,Val-d'Or ,"74,500"
Quebec,Victoriaville ,"63,200"
Ontario,Barrie,"97,000"
Ontario,Belleville - Quinte West,"78,000"
Ontario,Brantford,"85,000"
Ontario,Brockville ,"70,500"
Ontario,Centre Wellington ,"101,000"
Ontario,Chatham-Kent ,"71,500"
Ontario,Cobourg ,"77,000"
Ontario,Collingwood ,"82,000"
Ontario,Cornwall ,"65,500"
Ontario,Elliot Lake ,"50,000"
Ontario,Essa ,"108,000"
Ontario,Greater Sudbury,"84,000"
Ontario,Guelph,"97,000"
Ontario,Hamilton,"91,000"
Ontario,Hawkesbury,"53,600"
Ontario,Ingersoll ,"88,000"
Ontario,Kawartha Lakes ,"82,000"
Ontario,Kenora ,"86,000"
Ontario,Kingston,"83,000"
Ontario,Kitchener,"92,000"
Ontario,London,"79,500"
Ontario,Midland ,"71,000"
Ontario,Norfolk ,"82,000"
Ontario,North Bay ,"76,000"
Ontario,Orillia ,"71,000"
Ontario,Oshawa,"102,000"
Ontario,Ottawa,"98,000"
Ontario,Owen Sound ,"71,500"
Ontario,Pembroke ,"73,000"
Ontario,Petawawa ,"102,000"
Ontario,Peterborough,"79,000"
Ontario,Port Hope ,"88,000"
Ontario,Sarnia ,"83,000"
Ontario,Sault Ste. Marie ,"74,000"
Ontario,St. Catharines - Niagara,"77,000"
Ontario,Stratford ,"77,000"
Ontario,Thunder Bay,"80,000"
Ontario,Tillsonburg ,"73,500"
Ontario,Timmins ,"82,000"
Ontario,Toronto,"97,000"
Ontario,Wasaga Beach ,"76,000"
Ontario,Windsor,"82,000"
Ontario,Woodstock ,"82,000"
Manitoba,Brandon ,"77,500"
Manitoba,Portage la Prairie ,"69,000"
Manitoba,Steinbach ,"72,500"
Manitoba,Thompson ,"96,000"
Manitoba,Winkler ,"75,000"
Manitoba,Winnipeg,"83,000"
Saskatchewan,Estevan,"96,000"
Saskatchewan,Moose Jaw,"75,500"
Saskatchewan,North Battleford,"78,000"
Saskatchewan,Prince Albert,"78,000"
Saskatchewan,Regina,"90,000"
Saskatchewan,Saskatoon,"89,000"
Saskatchewan,Swift Current,"80,000"
Saskatchewan,Weyburn,"82,000"
Saskatchewan,Yorkton,"77,500"
Alberta,Brooks,"91,000"
Alberta,Calgary ,"100,000"
Alberta,Camrose,"76,000"
Alberta,Canmore,"106,000"
Alberta,Edmonton ,"96,000"
Alberta,Grande Prairie,"102,000"
Alberta,High River,"82,000"
Alberta,Lacombe,"89,000"
Alberta,Lethbridge ,"84,000"
Alberta,Lloydminster,"95,000"
Alberta,Medicine Hat,"80,000"
Alberta,Okotoks,"117,000"
Alberta,Red Deer ,"85,000"
Alberta,Strathmore,"91,000"
Alberta,Sylvan Lake,"93,000"
Alberta,Wetaskiwin,"69,500"
Alberta,Wood Buffalo,"182,000"
British Columbia,Abbotsford - Mission,"91,000"
British Columbia,Campbell River ,"78,500"
British Columbia,Chilliwack,"82,000"
British Columbia,Courtenay ,"76,500"
British Columbia,Cranbrook ,"84,000"
British Columbia,Dawson Creek ,"85,000"
British Columbia,Duncan ,"75,500"
British Columbia,Fort St. John ,"106,000"
British Columbia,Kamloops,"87,000"
British Columbia,Kelowna,"85,000"
British Columbia,Ladysmith ,"80,000"
British Columbia,Nanaimo,"77,500"
British Columbia,Nelson ,"74,500"
British Columbia,Parksville ,"73,500"
British Columbia,Penticton ,"71,000"
British Columbia,Port Alberni ,"67,000"
British Columbia,Powell River ,"66,500"
British Columbia,Prince George ,"91,000"
British Columbia,Prince Rupert ,"92,000"
British Columbia,Quesnel ,"73,000"
British Columbia,Salmon Arm ,"75,000"
British Columbia,Squamish ,"111,000"
British Columbia,Terrace ,"90,000"
British Columbia,Trail ,"76,000"
British Columbia,Vancouver,"90,000"
British Columbia,Vernon ,"79,000"
British Columbia,Victoria,"85,000"
British Columbia,Williams Lake ,"81,000"
