Province,City,Number of Dwellings
Prince Edward Island,Charlottetown,"32,945"
Prince Edward Island,Summerside,"7,950"
Nova Scotia,Cape Breto,"43,800"
Nova Scotia,Halifax,"201,140"
Nova Scotia,Kentville ,"11,940"
Nova Scotia,New Glasgow ,"15,480"
Nova Scotia,Truro ,"20,700"
New Brunswick,Bathurst ,"14,395"
New Brunswick,Campbellton,"6,130"
New Brunswick,Edmundston ,"10,265"
New Brunswick,Fredericton,"46,360"
New Brunswick,Miramich,"12,300"
New Brunswick,Moncton,"67,180"
New Brunswick,Saint John,"55,865"
Quebec,Alma ,"13,815"
Quebec,Amos ,"8,250"
Quebec,Baie-Comeau ,"12,360"
Quebec,Cowansville ,"6,980"
Quebec,Dolbeau-Mistassini ,"6,960"
Quebec,Drummondville,"45,695"
Quebec,Granby ,"41,095"
Quebec,Joliette ,"24,565"
Quebec,Lachute ,"6,530"
Quebec,Matane ,"9,170"
Quebec,Montréal,"1,835,700"
Quebec,Québec,"387,955"
Quebec,Rimouski ,"25,620"
Quebec,Rivière-du-Loup ,"13,740"
Quebec,Rouyn-Noranda ,"19,280"
Quebec,Saguenay,"74,810"
Quebec,Saint-Georges ,"16,135"
Quebec,Saint-Hyacinthe ,"27,960"
Quebec,Sainte-Agathe-des-Monts ,"9,670"
Quebec,Sainte-Marie ,"5,500"
Quebec,Salaberry-de-Valleyfield ,"20,070"
Quebec,Sept-Îles ,"12,290"
Quebec,Shawinigan ,"25,060"
Quebec,Sherbrooke,"104,650"
Quebec,Sorel-Tracy ,"20,310"
Quebec,Thetford Mines ,"13,260"
Quebec,Trois-Rivières,"76,635"
Quebec,Val-d'Or ,"15,375"
Quebec,Victoriaville ,"23,910"
Ontario,Barrie,"78,540"
Ontario,Belleville - Quinte West,"46,215"
Ontario,Brantford,"56,000"
Ontario,Brockville ,"14,435"
Ontario,Centre Wellington ,"11,970"
Ontario,Chatham-Kent ,"44,175"
Ontario,Cobourg ,"9,135"
Ontario,Collingwood ,"11,170"
Ontario,Cornwall ,"26,795"
Ontario,Elliot Lake ,"5,840"
Ontario,Essa ,"7,945"
Ontario,Greater Sudbury,"73,385"
Ontario,Guelph,"64,175"
Ontario,Hamilton,"307,380"
Ontario,Hawkesbury,"5,985"
Ontario,Ingersoll ,"5,465"
Ontario,Kawartha Lakes ,"32,710"
Ontario,Kenora ,"6,510"
Ontario,Kingston,"73,505"
Ontario,Kitchener,"219,060"
Ontario,London,"222,240"
Ontario,Midland ,"11,825"
Ontario,Norfolk ,"27,595"
Ontario,North Bay ,"31,185"
Ontario,Orillia ,"14,425"
Ontario,Oshawa,"149,045"
Ontario,Ottawa,"604,720"
Ontario,Owen Sound ,"14,390"
Ontario,Pembroke ,"10,260"
Ontario,Petawawa ,"6,760"
Ontario,Peterborough,"53,370"
Ontario,Port Hope ,"7,320"
Ontario,Sarnia ,"42,580"
Ontario,Sault Ste. Marie ,"34,415"
Ontario,St. Catharines - Niagara,"179,225"
Ontario,Stratford ,"14,745"
Ontario,Thunder Bay,"54,210"
Ontario,Tillsonburg ,"8,225"
Ontario,Timmins ,"17,885"
Ontario,Toronto,"2,262,470"
Ontario,Wasaga Beach ,"10,810"
Ontario,Windsor,"165,665"
Ontario,Woodstock ,"18,885"
Manitoba,Brandon ,"22,280"
Manitoba,Portage la Prairie ,"5,645"
Manitoba,Steinbach ,"6,835"
Manitoba,Thompson ,"4,675"
Manitoba,Winkler ,"11,360"
Manitoba,Winnipeg,"330,325"
Saskatchewan,Estevan,"5,345"
Saskatchewan,Moose Jaw,"15,215"
Saskatchewan,North Battleford,"7,865"
Saskatchewan,Prince Albert,"17,060"
Saskatchewan,Regina,"100,210"
Saskatchewan,Saskatoon,"125,100"
Saskatchewan,Swift Current,"7,950"
Saskatchewan,Weyburn,"5,090"
Saskatchewan,Yorkton,"8,425"
Alberta,Brooks,"5,140"
Alberta,Calgary ,"563,440"
Alberta,Camrose,"8,135"
Alberta,Canmore,"6,805"
Alberta,Edmonton ,"548,625"
Alberta,Grande Prairie,"24,815"
Alberta,High River,"5,785"
Alberta,Lacombe,"5,195"
Alberta,Lethbridge ,"48,650"
Alberta,Lloydminster,"13,885"
Alberta,Medicine Hat,"32,060"
Alberta,Okotoks,"10,475"
Alberta,Red Deer ,"40,510"
Alberta,Strathmore,"5,515"
Alberta,Sylvan Lake,"6,615"
Alberta,Wetaskiwin,"5,185"
Alberta,Wood Buffalo,"26,480"
British Columbia,Abbotsford - Mission,"67,610"
British Columbia,Campbell River ,"17,640"
British Columbia,Chilliwack,"44,365"
British Columbia,Courtenay ,"28,200"
British Columbia,Cranbrook ,"11,380"
British Columbia,Dawson Creek ,"7,540"
British Columbia,Duncan ,"20,010"
British Columbia,Fort St. John ,"11,590"
British Columbia,Kamloops,"47,100"
British Columbia,Kelowna,"94,335"
British Columbia,Ladysmith ,"6,505"
British Columbia,Nanaimo,"49,345"
British Columbia,Nelson ,"8,505"
British Columbia,Parksville ,"14,765"
British Columbia,Penticton ,"21,920"
British Columbia,Port Alberni ,"11,715"
British Columbia,Powell River ,"8,190"
British Columbia,Prince George ,"36,800"
British Columbia,Prince Rupert ,"5,500"
British Columbia,Quesnel ,"10,155"
British Columbia,Salmon Arm ,"8,215"
British Columbia,Squamish ,"9,310"
British Columbia,Terrace ,"8,000"
British Columbia,Trail ,"6,515"
British Columbia,Vancouver,"1,043,320"
British Columbia,Vernon ,"28,725"
British Columbia,Victoria,"176,675"
British Columbia,Williams Lake ,"10,045"
